Type and Variety,COLOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2011 State Total,2010 State Total
Albarino ,WHITE,2.40,0.90,16.30,47.80,3.60,0.00,252.70,249.90,21.30,6.80,42.50,6.60,2.40,0.00,0.00,10.20,289.10,952.50,623.70
Arneis ,WHITE,36.10,0.00,55.80,0.00,0.00,0.00,21.40,0.00,0.00,0.00,0.00,2.30,0.00,0.00,0.00,10.00,0.00,125.60,92.10
Burger * ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3029.20,1472.50,22934.10,1638.90,0.00,0.00,907.80,29982.50,33665.80
Chardonnay * ,WHITE,18043.70,1454.40,52374.40,21014.70,3172.60,5481.80,77035.30,31889.90,18333.20,446.90,111938.00,54962.90,80261.30,44588.50,29.10,193.90,37572.40,558793.00,656297.60
Chenin Blanc ,WHITE,93.10,0.00,14.50,96.00,1175.90,0.00,1155.90,953.70,151.80,18.20,2254.90,1829.50,33537.90,4921.40,0.00,11.20,8246.90,54460.90,65069.00
Cortese ,WHITE,6.20,0.00,0.80,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.30,0.00,26.30,15.60
Emerald Riesling ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,576.00,0.00,0.00,0.00,576.00,715.40
Fiano ,WHITE,0.00,0.00,5.90,0.30,0.00,4.10,0.00,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.80,0.00
Flora ,WHITE,0.00,0.00,0.00,26.80,0.00,0.00,0.00,0.00,0.90,3.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.60,55.90
Folle Blanche ,WHITE,0.00,0.00,19.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.30,17.50
