Agency,Alarm Date,Burn Days,Burn Days (raw),Comments,Cont Date,Fire Name,Fire Num,Inc Num,State,Unit Id,Year,C Method,Cause,Geometry Wildfire,Gis Acres,Objectid,Objective,Report Ac,SHAPE Area,SHAPE Length
CDF,6/18/2020 12:00:00 AM,5,5,,6/23/2020 12:00:00 AM,NELSON,,00013212,CA,NEU,2020,1,11,MultiPolygon,109.6025,21440,1,110,4.605001319e-05,0.035732964
CDF,6/1/2020 12:00:00 AM,3,3,,6/4/2020 12:00:00 AM,AMORUSO,,00011799,CA,NEU,2020,1,2,MultiPolygon,685.58502,21441,1,670,0.000287811,0.101177989
CDF,8/10/2020 12:00:00 AM,3,-162,,3/1/2020 12:00:00 AM,ATHENS,,00018493,CA,NEU,2020,1,14,MultiPolygon,27.30048,21442,1,26,1.146338145e-05,0.017449619
CDF,3/31/2020 12:00:00 AM,1,1,,4/1/2020 12:00:00 AM,FLEMING,,00007619,CA,NEU,2020,1,9,MultiPolygon,12.93155,21443,1,13,5.438851113e-06,0.016557145
CDF,4/14/2020 12:00:00 AM,5,5,,4/19/2020 12:00:00 AM,MELANESE,,00008471,CA,NEU,2020,1,18,MultiPolygon,10.31596,21444,1,10.3,4.370757512e-06,0.010919637
CDF,7/5/2020 12:00:00 AM,0,0,,7/5/2020 12:00:00 AM,PFE,,00014858,CA,NEU,2020,1,14,MultiPolygon,36.701931,21445,1,36,1.538716202e-05,0.024266669
DOD,7/15/2020 12:00:00 AM,1,1,Beale Air Force Base,7/16/2020 12:00:00 AM,VALLEY,,00015865,CA,,2020,1,14,MultiPolygon,376.91049,21446,1,377,0.000158894,0.074339345
CDF,7/9/2020 12:00:00 AM,3,3,,7/12/2020 12:00:00 AM,WALDO,,00015275,CA,NEU,2020,1,9,MultiPolygon,10.10221,21447,1,10.7,4.259077275e-06,0.010780021
CDF,3/10/2020 12:00:00 AM,1,1,,3/11/2020 12:00:00 AM,WILLOW,,00006064,CA,NEU,2020,1,5,MultiPolygon,33.973888,21448,1,34,1.437663299e-05,0.019101653
CDF,9/9/2020 12:00:00 AM,34,34,,10/13/2020 12:00:00 AM,WILLOWS,,00021423,CA,NEU,2020,3,7,MultiPolygon,1309.09,21449,1,1311,0.000553775,0.121500636
CDF,7/6/2020 12:00:00 AM,0,0,,7/6/2020 12:00:00 AM,DYER,,00015012,CA,NEU,2020,1,8,MultiPolygon,194.66029,21450,1,195,8.162443363e-05,0.058534400
CDF,7/24/2020 12:00:00 AM,7,7,,7/31/2020 12:00:00 AM,FARRIER,,00016781,CA,NEU,2020,1,8,MultiPolygon,22.6343,21451,1,22.7,9.490761595e-06,0.013441747
CDF,10/6/2020 12:00:00 AM,3,3,,10/9/2020 12:00:00 AM,FIELDS,,00023897,CA,NEU,2020,1,5,MultiPolygon,55.32843,21452,1,55,2.334074479e-05,0.025232566
CDF,8/17/2020 12:00:00 AM,42,42,aka INDIAN,9/28/2020 12:00:00 AM,JONES,,00019231,CA,NEU,2020,3,1,MultiPolygon,705.54602,21453,1,705,0.000298036,0.117069845
DOD,8/2/2020 12:00:00 AM,0,0,Beale Air Force Base,8/2/2020 12:00:00 AM,PAVE PAWS,,00017717,CA,,2020,1,11,MultiPolygon,532.77338,21454,1,532,0.000224634,0.082976748
