Type and Variety,COLOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2015 State Total,2014 State Total
Albarino ,WHITE,2.90,1.00,26.20,62.50,76.20,2.70,332.50,310.20,31.80,26.30,207.10,0.00,6.90,0.00,0.00,10.10,596.60,1693.00,1759.40
Arneis ,WHITE,16.30,0.00,111.70,0.50,0.00,0.00,0.00,16.90,0.50,1.00,0.00,0.00,0.00,0.00,0.00,24.20,0.00,171.10,190.90
Burger * ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3055.70,2356.00,24107.90,0.00,0.00,0.00,0.00,29519.60,26774.30
Chardonnay * ,WHITE,18391.80,1707.30,64208.90,21144.90,4034.30,4949.10,84397.30,33982.60,14470.70,345.40,128081.10,72221.30,109977.80,29974.30,16.70,187.00,45481.70,633572.20,719012.30
Chenin Blanc ,WHITE,103.60,3.30,21.50,38.90,623.80,0.00,492.20,249.70,127.00,8.10,1070.90,3243.20,15582.30,0.00,0.00,10.40,13196.30,34771.20,43092.20
Cortese ,WHITE,4.90,0.00,0.00,0.00,0.00,0.00,0.00,3.80,2.30,0.00,0.00,0.00,0.00,0.00,0.00,3.80,28.70,43.50,14.80
Emerald Riesling ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,184.90
Fiano ,WHITE,0.00,0.00,5.60,0.30,0.00,0.00,0.50,3.30,7.10,3.00,0.00,0.00,0.00,0.00,0.00,2.10,7.20,29.10,37.80
Flora ,WHITE,2.60,0.00,0.00,22.10,0.00,0.00,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.80,29.60
Folle Blanche ,WHITE,0.00,0.00,11.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.40,24.30
French Colombard ,WHITE,103.00,0.00,53.80,0.00,21.80,1.00,0.00,0.00,903.80,0.00,2696.30,7643.40,280126.30,40036.10,0.00,0.00,0.00,331585.50,308261.00
Gewurztraminer ,WHITE,357.60,441.40,202.50,6.00,586.60,444.50,4756.80,77.50,6.10,3.80,120.30,434.40,0.00,0.00,0.00,53.90,5011.40,12502.80,14976.50
Gray Riesling * ,WHITE,0.00,0.00,37.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.80,0.00,0.00,0.00,0.00,0.00,0.00,55.90,21.60
Grenache Blanc ,WHITE,0.00,5.80,61.70,28.90,3.80,2.10,87.80,729.10,15.40,40.30,75.70,0.00,54.10,0.00,0.00,32.50,22.20,1159.40,1106.30
Gruner Veltliner ,WHITE,0.00,0.00,36.20,9.80,0.00,4.40,309.10,118.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.30,539.00,1492.80
Malvasia Bianca ,WHITE,0.00,0.00,7.20,4.10,12.80,20.50,383.80,121.40,1.10,8.00,1216.10,4745.40,682.80,0.00,0.00,5.80,0.00,7209.00,7033.20
Marsanne ,WHITE,17.30,7.10,44.60,28.00,0.00,3.40,79.60,150.70,1.70,33.60,101.20,0.00,22.70,0.00,0.00,8.10,0.00,498.00,610.00
Melon ,WHITE,0.00,0.00,11.90,0.00,0.00,0.00,0.00,7.70,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.80,17.00
Moscato Gaillo * ,WHITE,0.00,0.00,5.10,0.00,0.00,0.00,0.00,0.60,0.30,1.70,34.00,0.00,4.80,0.00,0.00,0.00,0.00,46.50,32.80
Muscat Blanc * ,WHITE,200.50,368.80,154.80,345.20,65.80,38.30,1118.90,697.70,313.80,37.60,1967.40,2629.90,8307.70,9213.70,0.00,198.90,309.20,25968.20,44634.60
Muscat Orange ,WHITE,53.50,19.10,3.30,6.40,197.00,5.40,31.30,197.10,342.50,27.70,945.50,869.10,794.20,0.00,0.00,5.20,42.60,3539.90,3126.90
Muscat of Alexandria ,WHITE,30.40,0.00,2.80,0.60,0.00,3.00,0.00,0.00,4010.20,0.00,477.40,11144.50,129212.50,35245.00,1.50,4.20,105.50,180237.60,158521.40
Palomino * ,WHITE,0.00,0.00,5.10,0.00,0.00,18.80,0.00,0.00,0.00,0.00,0.00,0.00,779.10,0.00,0.00,13.40,0.00,816.40,786.40
Picpoul Blanc ,WHITE,1.10,0.00,4.10,1.70,0.00,1.10,14.20,64.30,0.50,2.70,1.00,0.00,0.00,0.00,0.00,2.80,0.00,93.50,85.80
Pinot Blanc ,WHITE,81.20,0.00,187.60,55.10,0.00,5.10,484.70,114.40,0.00,0.40,0.00,0.00,35.00,0.00,0.00,0.00,0.00,963.50,1556.40
Pinot Gris * ,WHITE,315.40,386.40,1363.90,275.50,3256.50,794.50,4341.20,2018.90,4405.30,70.30,46089.10,36211.10,46715.50,25115.60,1.60,93.90,13733.30,185188.00,181872.90
Ribolla Gialla * ,WHITE,0.00,0.00,4.20,17.20,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,25.80
Roussanne ,WHITE,103.00,79.90,91.30,49.90,0.00,12.10,51.10,518.70,6.50,82.40,62.70,0.00,9.00,0.00,0.00,77.40,0.00,1144.00,1219.50
Sauvignon Blanc ,WHITE,3002.20,11640.10,12125.30,10937.90,735.40,962.40,5207.50,4190.50,676.70,377.00,16996.80,5420.30,1483.80,3614.60,8.30,96.30,10781.00,88256.10,111081.40
Sauvignon Musque ,WHITE,98.90,147.20,411.80,251.50,0.00,0.00,22.00,0.00,0.20,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,932.30,1208.60
Sauvignon Vert * ,WHITE,2.90,0.00,11.70,10.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,21.20
Semillon ,WHITE,35.80,308.00,376.10,713.20,0.00,56.90,58.20,14.90,142.10,27.10,593.50,1.10,550.60,0.00,0.00,1.20,678.90,3557.60,4738.00
St. Emilion * ,WHITE,0.00,0.00,0.00,0.00,0.00,6.80,0.00,4.70,6.10,0.60,0.00,0.00,0.00,0.00,0.00,7.50,0.00,25.70,20.80
Sylvaner ,WHITE,0.00,0.00,5.20,0.00,0.00,0.00,0.00,6.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.40,24.40
Symphony ,WHITE,4.20,0.00,0.00,0.00,150.20,92.50,0.00,0.00,0.00,0.00,2872.50,23544.90,11471.00,0.00,0.00,0.40,739.30,38875.00,30566.10
Tocai Friulano ,WHITE,24.50,0.00,7.20,8.20,0.00,0.00,12.90,22.30,0.00,0.20,1.60,0.00,0.00,0.00,0.00,0.00,0.00,76.90,149.00
Torrontes ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,15.10,0.00,0.00,0.00,0.00,0.00,0.00,17.10,31.70
Triplett Blanc ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15398.90,0.00,0.00,0.00,0.00,15398.90,19509.70
Verdelho ,WHITE,0.00,0.00,0.80,1.60,16.10,13.30,2.10,22.50,165.70,23.10,1871.10,0.00,0.00,5.20,0.00,7.30,161.70,2290.50,1607.70
Vermentino * ,WHITE,0.00,3.50,76.10,6.20,0.00,0.00,2.90,44.30,48.60,45.00,751.60,0.00,0.00,0.00,0.00,28.10,0.00,1006.30,908.60
Vernaccia ,WHITE,0.00,0.00,19.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.20,17.10
Viognier ,WHITE,510.80,207.50,564.10,289.30,223.00,101.90,306.20,1321.70,332.10,262.10,9663.70,3929.10,77.00,0.00,3.40,166.30,1478.30,19436.50,24370.40
White Riesling * ,WHITE,254.00,238.90,240.60,233.40,268.20,2.70,8137.10,1074.10,11.30,24.90,4259.00,15395.90,1034.40,2.80,0.00,171.80,4529.50,35878.60,36516.70
Other White  1/ ,WHITE,6.10,0.00,34.50,14.10,0.00,9.50,3.40,43.00,32.40,6.70,3153.20,181.50,925.30,2074.40,0.00,17.80,54.00,6555.90,5765.50
Aglianico ,RED,0.70,0.50,16.40,2.70,0.00,5.60,0.00,30.00,15.70,16.90,1.60,8.00,0.80,0.00,0.00,19.70,6.30,124.90,168.10
Aleatico ,RED,3.30,0.00,12.00,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,17.00,24.10
Alicante Bouschet * ,RED,0.00,0.00,89.10,4.00,0.00,55.10,9.40,23.60,0.30,54.40,2094.10,1591.00,3180.10,95.30,8.60,11.30,0.00,7216.30,7096.00
Arinarnoa ,RED,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,346.70,0.00,0.00,0.00,0.00,347.20,333.30
Barbera ,RED,158.70,111.60,134.50,29.00,13.80,75.30,42.10,269.70,75.20,791.30,1145.20,55.40,48300.20,329.70,0.00,65.20,20.70,51617.60,44700.60
Blaufraenkisch * ,RED,0.00,0.00,1.40,0.00,0.00,0.00,0.00,16.80,5.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,24.10,51.60
Cabernet Franc ,RED,90.30,518.50,1357.80,2730.50,47.80,159.20,466.60,1321.10,18.70,312.10,2887.50,13.90,138.60,131.30,15.40,181.70,129.30,10520.30,13154.80
Cabernet Sauvignon ,RED,8575.70,14428.40,32947.30,53194.90,1050.30,3987.60,18776.80,32740.20,2423.20,2279.70,134347.10,62532.10,69004.30,16658.30,54.30,448.50,2144.80,455593.50,514507.20
Carignane ,RED,948.10,5.00,305.80,19.40,37.50,329.80,4.60,33.60,0.00,21.50,1057.30,0.00,8138.40,1370.00,0.00,14.70,0.30,12286.00,14073.90
Carmenere ,RED,2.50,0.00,6.30,5.40,0.00,0.90,0.00,3.10,0.60,0.00,0.00,0.00,0.00,0.00,0.00,5.20,0.00,24.00,36.70
Carnelian ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2767.60,17.80,0.00,0.00,0.00,2785.40,3751.70
Centurian ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1212.60,0.00,0.00,0.00,0.00,1212.60,345.90
Charbono ,RED,30.40,0.00,0.00,133.00,12.10,0.80,0.00,28.20,0.00,25.00,3.70,0.00,74.40,0.00,0.00,3.60,0.00,311.20,366.30
Ciliegiolo ,RED,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,9.40,0.00,0.00,0.00,0.00,0.00,11.10,107.60
Cinsaut * ,RED,0.00,0.20,21.30,2.30,0.00,30.30,38.50,49.10,0.00,26.80,126.40,0.00,48.00,0.00,0.00,67.40,13.10,423.40,462.20
Counoise ,RED,15.50,3.50,9.10,0.30,0.00,9.50,0.20,97.90,1.00,12.60,0.00,0.00,2.60,0.00,0.00,8.50,0.00,160.70,178.70
Dolcetto ,RED,63.20,0.00,27.70,15.50,6.80,4.60,2.50,58.60,0.00,25.50,41.90,0.00,2.00,0.00,0.00,21.40,2.60,272.30,298.60
Dornfelder ,RED,0.00,0.00,21.30,0.00,0.00,0.00,2.60,3.80,102.20,0.00,197.00,978.10,0.00,0.00,0.00,0.00,0.00,1305.00,1585.40
Durif ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,22.50,0.20,0.00,8.30,0.00,0.00,0.00,1.00,0.00,34.00,11.90
Freisa ,RED,0.00,0.00,2.20,0.00,0.00,0.00,0.00,3.40,0.00,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.40,24.10
Gamay (Napa) * ,RED,52.10,0.00,3.50,55.40,259.80,2.20,173.30,296.50,0.00,0.00,0.00,0.00,398.60,0.00,0.00,0.00,144.60,1386.00,1749.10
Gamay Noir Au Jus Blanc ,RED,0.00,0.00,1.30,1.90,0.00,0.00,0.00,0.00,0.00,20.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.80,33.80
Graciano ,RED,0.00,0.10,8.10,0.00,1.60,5.40,7.80,8.10,20.70,27.00,182.40,2.40,0.00,0.00,0.00,0.00,0.40,264.00,258.50
Grenache * ,RED,383.10,195.20,567.40,193.10,10.70,377.40,1208.00,3966.60,588.80,436.00,505.40,1764.60,31110.60,870.90,37.80,157.80,10.70,42384.10,53313.20
Grignolino ,RED,0.00,0.00,0.00,28.70,0.00,7.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.10,35.50
