Region,RED,WHITE,TOTAL,PERCENT,YEAR
1,33008.1,24374.9,57383,1.71449078,2011
10,15445.5,1885.4,17330.9,0.517813085,2011
11,370246.7,203511.6,573758.3,17.14276555,2011
12,152012.3,138953.1,290965.4,8.693471857,2011
13,655783.3,494200.3,1149983.6,34.35924018,2011
14,189195.9,173665.4,362861.3,10.84157944,2011
15,873.5,126.4,999.9,0.029875038,2011
16,2514.3,877,3391.3,0.10132535,2011
17,30955.9,77849.5,108805.4,3.250890597,2011
2,21120.8,12882.8,34003.6,1.015960453,2011
3,101818.5,64800.3,166618.8,4.978240879,2011
4,89835.2,32036.9,121872.1,3.641297802,2011
5,6856.9,8437.4,15294.3,0.456963497,2011
6,14187.7,7760.6,21948.3,0.655771883,2011
7,98423.7,110772.7,209196.4,6.250375529,2011
8,112089.4,46081.8,158171.2,4.725843265,2011
9,25668.2,28689.3,54357.5,1.624094812,2011
1,40008,31086.9,71094.9,1.769458773,2012
10,20691.7,2681.8,23373.5,0.581735745,2012
11,500210.9,267188.7,767399.6,19.09956909,2012
12,172481.4,166962.3,339443.7,8.448308286,2012
13,676931.7,538461.7,1215393.4,30.24954693,2012
14,164242.8,165213,329455.8,8.199722561,2012
15,840.6,128.9,969.5,0.024129583,2012
16,3626.4,1327.1,4953.5,0.123286115,2012
17,40185.1,108505,148690.1,3.700701483,2012
2,22184.4,12632,34816.4,0.866534511,2012
3,161709.9,105351.7,267061.6,6.646812794,2012
4,132108.4,50750.2,182858.6,4.551110613,2012
5,9511.3,14316.6,23827.9,0.593045165,2012
6,19470.7,11337.2,30807.9,0.766768206,2012
7,149643.3,149536.3,299179.6,7.44618767,2012
8,151509.7,66858,218367.7,5.434885518,2012
9,26844.2,33351.7,60195.9,1.498196964,2012
1,41565.7,36355,77920.7,1.835634971,2013
10,20506.8,2513.9,23020.7,0.542315482,2013
11,532358,269468.9,801826.9,18.88922325,2013
12,190506.6,169210.5,359717.1,8.474119052,2013
13,728391.9,584318.8,1312710.7,30.92448691,2013
14,174729.5,179055.7,353785.2,8.334376941,2013
15,455.6,64.9,520.5,0.0122618,2013
16,3652.2,1354.2,5006.4,0.11793943,2013
17,39522.9,104216.4,143739.3,3.386171913,2013
2,25318.5,18300.6,43619.1,1.02756707,2013
3,156435.3,114173.8,270609.1,6.374936665,2013
4,121636.8,53209.7,174846.5,4.118986995,2013
5,8880.7,12302.4,21183.1,0.499025794,2013
6,25362.5,12219.9,37582.4,0.885356109,2013
7,149715.8,162849.2,312565,7.363322515,2013
8,165298.6,78051.2,243349.8,5.73276938,2013
9,32040.8,30847.5,62888.3,1.48150572,2013
1,34760.7,27199.3,61960,1.591657904,2014
10,16847.9,3336.4,20184.3,0.518503884,2014
11,449619.9,224556.7,674176.6,17.31856866,2014
12,161981.3,175044.5,337025.8,8.6576788,2014
13,648572.2,580909.6,1229481.8,31.58351235,2014
14,145511.6,170279.1,315790.7,8.112181467,2014
15,293.7,47.8,341.5,0.008772614,2014
16,3458.8,1387.4,4846.2,0.124491487,2014
17,37312.1,103404.8,140716.9,3.614802552,2014
2,22206,16467.2,38673.2,0.993455527,2014
3,144021.5,111613.9,255635.4,6.566883554,2014
4,123494.5,52112.8,175607.3,4.511083716,2014
5,10215.5,13057.5,23273,0.597847876,2014
